192.168.1.41 - - [10/Jan/2019:13:43:35 +0000] "GET /idp/profile/SAML2/POST/SSO?execution=e1s1 HTTP/1.1" 200 2816
192.168.1.41 - - [10/Jan/2019:13:43:35 +0000] "GET /idp/css/main.css HTTP/1.1" 200 2821
192.168.1.41 - - [10/Jan/2019:13:44:55 +0000] "POST /idp/profile/SAML2/POST/SSO?execution=e1s1 HTTP/1.1" 200 11958
192.168.1.41 - - [10/Jan/2019:14:23:27 +0000] "POST /idp/profile/SAML2/POST/SSO HTTP/1.1" 302 -
192.168.1.41 - - [10/Jan/2019:14:23:27 +0000] "GET /idp/profile/SAML2/POST/SSO?execution=e1s1 HTTP/1.1" 200 2816
192.168.1.41 - - [10/Jan/2019:14:23:27 +0000] "GET /idp/css/main.css HTTP/1.1" 200 2821
192.168.1.41 - - [10/Jan/2019:14:23:31 +0000] "POST /idp/profile/SAML2/POST/SSO?execution=e1s1 HTTP/1.1" 200 11958
192.168.1.180 - - [10/Jan/2019:14:27:18 +0000] "GET /idp/profile/SAML2/Redirect/SLO?SAMLRequest=nVJNc9owFLz3V3h0zYBtYWOsAWf4SuMEaAKEZrh0ZEs2AlsyluxAfn1tKJ2EQzrTiw5v3u7bXW339pAmWklzyQTvAbNpAI3yUBDG4x54Wd41OuDW%2B9aVOE1ghiYiFoWa031BpdJG1cM4VifoRqlMIl1nJGuWjBzxsYiboUjrgZ7lImIJ1Rf96QTqc0pYTkOlLyY%2FgOaPegC7sRXSbQAtAjfEhnYEYysIo8AIYWhWO1IW1OdSYa56ABqm2zDMhmksTQtBB5lO04bOGmirixFYG6mscYnO0nugyDkSWDKJOE6pRCpEtRxUraJKnxKhSIB3dopOB%2FOPDF8TYClpXgcBPJmZnwLo6h8pLwdmFYU%2F0u5EnmL1NXc9YaQRnVaRyjGXjHIFtJrjucAJixjN%2F%2FEDcsOCQCRUbYC2eLpCXksG%2F2W83yfv65%2Bz4%2Fr1%2BTBw2sJdtu%2FLeeKsnw7LG%2BLGYrjbisdp4i51f%2Bhbdul2UlX6qVvs2wJvbUe5ws8Gq6AUY6byt729mrZ345vB7mH23tnNvq9fy7fj%2FZBtx0NdHVv71qMNY5oYo5fwEvI5Vu%2FS1wWVdR98TujB%2B2XalEDXhS3bJBENXIxxYFpm1TGHBDRs%2FSG5gv2dfiq%2F9xs%3D&SigAlg=http%3A%2F%2Fwww.w3.org%2F2000%2F09%2Fxmldsig%23rsa-sha1&Signature=bvjxPfS%2Bm7%2BT0XaUx2RT58aLF6DXqiWB%2Bozv7BYyotzARGM7byi4PILVDMcZ1SnoXUrg2yQWbwVV3z108%2BusW4vtyh%2BlLPte9pashOWMaVqGfvuzQaoaKF5n7GCUoQPIcJy5Lc6ftw%2F4Vx3ERBCZvf5HtDO0cFY996R5r7d97PfroP1sB11RIa2AtzLzO3VM0kCDqhC2LW3vSFaBirHu5wnYet4Vw7D4M3DJ4MzTSFkQVS9iafcA%2FqXP%2F%2B6gCBCW5QR5eCWRJKRDJxF4pfyYfwSLbMckLE9cOPshLYdJYjQ6%2BfsJmYXRpFttghNC8OcGY6HTO55cjboM%2BNrfjEIXPA%3D%3D HTTP/1.1" 200 4851
192.168.1.41 - - [10/Jan/2019:15:54:51 +0000] "POST /idp/profile/SAML2/POST/SSO HTTP/1.1" 302 -
192.168.1.41 - - [10/Jan/2019:15:54:51 +0000] "GET /idp/profile/SAML2/POST/SSO?execution=e1s1 HTTP/1.1" 200 2816
192.168.1.41 - - [10/Jan/2019:15:54:51 +0000] "GET /idp/css/main.css HTTP/1.1" 200 2821
192.168.1.41 - - [10/Jan/2019:15:54:55 +0000] "POST /idp/profile/SAML2/POST/SSO?execution=e1s1 HTTP/1.1" 200 11958
